Date,LMT,AMD,MSFT
2/11/2019,295.977448,22.959999,104.415909
2/12/2019,299.99231,22.82,106.042915
2/13/2019,300.298126,22.85,105.963547
2/14/2019,296.924438,23.129999,106.052834
2/15/2019,303.070068,23.68,107.362373
2/19/2019,301.047821,23.950001,107.312767
2/20/2019,303.040497,23.950001,106.754837
2/21/2019,300.386932,23.92,109.0065
2/22/2019,302.971436,24.360001,110.560745
2/25/2019,301.827148,24.709999,111.178452
2/26/2019,301.738373,24.209999,111.945618
2/27/2019,303.415314,23.48,111.756317
2/28/2019,307.419434,23.530001,111.616837
3/1/2019,307.479034,23.68,112.11499
3/4/2019,302.729797,23.370001,111.845993
3/5/2019,303.792908,23.5,111.288048
3/6/2019,301.368591,22.41,111.337868
3/7/2019,301.060608,22.08,109.982887
3/8/2019,299.013855,22.01,110.102448
3/11/2019,302.44165,22.959999,112.413887
3/12/2019,299.9776,23.49,113.200974
3/13/2019,301.497772,23.379999,114.077728
3/14/2019,296.589539,22.82,114.167389
3/15/2019,294.24472,23.290001,115.482529
3/18/2019,295.725159,23.25,117.136406
3/19/2019,294.691833,26,117.21611
3/20/2019,294.075836,25.700001,117.086586
3/21/2019,297.086334,27.889999,119.776634
3/22/2019,292.1185,26.370001,116.618324
3/25/2019,292.227783,25.969999,117.226074
3/26/2019,293.022644,25.690001,117.475151
3/27/2019,292.058899,24.889999,116.339348
3/28/2019,293.698273,25.059999,116.498764
3/29/2019,298.228943,25.52,117.505043
4/1/2019,302.332367,26.360001,118.581055
4/2/2019,301.150024,26.75,118.750435
4/3/2019,295.357513,29.02,119.527557
4/4/2019,297.742096,29.09,118.9198
4/5/2019,300.633331,28.98,119.447845
4/8/2019,303.693542,28.530001,119.487701
4/9/2019,300.732697,27.24,118.840096
4/10/2019,297.195618,27.83,119.746742
4/11/2019,303.623993,27.790001,119.88623
4/12/2019,307.70755,27.85,120.503937
4/15/2019,306.723907,27.33,120.603577
4/16/2019,308.065216,27.93,120.3246
4/17/2019,308.502411,27.49,121.320915
4/18/2019,312.23822,27.68,122.915016
4/22/2019,313.231781,28.18,123.303581
4/23/2019,330.957001,27.969999,124.977379
4/24/2019,327.996185,28.459999,124.548965
4/25/2019,326.754211,27.66,128.673691
4/26/2019,326.217682,27.879999,129.410965
4/29/2019,326.476013,27.690001,129.291412
4/30/2019,331.185516,27.629999,130.118362
5/1/2019,329.715057,26.809999,127.408379
5/2/2019,330.410522,28.290001,125.744537
5/3/2019,331.920776,28.219999,128.424606
5/6/2019,333.56015,27.42,127.677376
5/7/2019,328.771149,26.66,125.057083
5/8/2019,332.03006,27.09,125.047127
5/9/2019,337.176727,27.209999,125.037155
5/10/2019,339.153931,27.959999,126.661148
5/13/2019,333.212402,26.24,122.895088
5/14/2019,334.007263,27.32,124.270004
5/15/2019,332.000244,27.58,126.019997
5/16/2019,337.206543,28.01,128.929993
5/17/2019,335.815521,27.5,128.070007
5/20/2019,339.809692,26.68,126.220001
5/21/2019,341.737213,27.35,126.900002
5/22/2019,339.104248,27.41,127.669998
5/23/2019,337.882172,26.360001,126.18
5/24/2019,336.600464,26.440001,126.239998
5/28/2019,335.716217,29.049999,126.160004
5/29/2019,337.15686,28.09,124.940002
5/30/2019,339.76001,28.030001,125.730003
5/31/2019,338.540009,27.41,123.68
6/3/2019,344.570007,27.58,119.839996
6/4/2019,349.350006,29.57,123.160004
6/5/2019,352.700012,29.5,125.830002
6/6/2019,352.519989,31.82,127.82
6/7/2019,355.230011,32.41,131.399994
6/10/2019,351.600006,33.23,132.600006
6/11/2019,344.040009,32.41,132.100006
6/12/2019,345.51001,32.18,131.490005
6/13/2019,349.079987,31.389999,132.320007
6/14/2019,350.140015,30.360001,132.449997
6/17/2019,348.690002,29.200001,132.850006
6/18/2019,353.519989,30.450001,135.160004
6/19/2019,355.730011,30.5,135.690002
6/20/2019,362.799988,30.01,136.949997
6/21/2019,359.359985,29.1,136.970001
6/24/2019,359.980011,29.26,137.779999
6/25/2019,360.559998,28.860001,133.429993
6/26/2019,359.5,29.92,133.929993
6/27/2019,359.089996,30.74,134.149994
6/28/2019,363.540009,30.370001,133.960007
7/1/2019,361.470001,31.200001,135.679993
7/2/2019,367.570007,31.24,136.580002
7/3/2019,370.380005,31.190001,137.460007
7/5/2019,369.920013,31.5,137.059998
7/8/2019,369.179993,32.040001,136.960007
7/9/2019,369.730011,33.150002,136.460007
7/10/2019,368.160004,33.790001,137.850006
7/11/2019,368.230011,33.060001,138.399994
7/12/2019,369.450012,33.209999,138.899994
7/15/2019,367.690002,34.389999,138.899994
7/16/2019,365.350006,33.849998,137.080002
7/17/2019,358.470001,33.599998,136.270004
7/18/2019,356.209991,33,136.419998
7/19/2019,356.959991,32.509998,136.619995
7/22/2019,357.630005,32.849998,138.429993
7/23/2019,357.799988,33.490002,139.289993
7/24/2019,368.899994,34.110001,140.720001
7/25/2019,370.320007,33.669998,140.190002
7/26/2019,369.459991,34.02,141.339996
7/29/2019,369.619995,33.48,141.029999
7/30/2019,365.98999,33.869999,140.350006
7/31/2019,362.170013,30.450001,136.270004
8/1/2019,363.089996,29.860001,138.059998
8/2/2019,361.910004,29.440001,136.899994
8/5/2019,358.429993,27.99,132.210007
8/6/2019,366.779999,28.860001,134.690002
8/7/2019,369.299988,29.190001,135.279999
8/8/2019,377.170013,33.919998,138.889999
8/9/2019,377.01001,34.189999,137.710007
